barangay,household_id,member_id,nuclear_family,relationship_nuclear_head,national_id_issued,philsys_card_number,solo_parent,solo_parent_id,senior_citizen_id,pregnant,lactating,disability,pwd_id,type_of_disability,seeing,hearing,walking,remembering,self_caring,communication
Anitap,ANI-0022,ANI-0022-4,03,00,2,3989832627227876,8,8,,2,2,1,2,"G,F,Z",3,4,4,4,2,4
Anitap,ANI-0022,ANI-0022-5,05,05,8,2636347288508924,1,1,,,,2,2,,4,2,1,1,4,3
Anitap,ANI-0022,ANI-0022-6,03,00,2,6065583089871034,1,8,,1,2,2,2,,1,3,1,1,2,3
Anitap,ANI-0023,ANI-0023-1,03,10,1,7188470635473666,1,8,,,,2,2,,4,4,2,1,1,2
Anitap,ANI-0023,ANI-0023-2,06,01,2,6326911081026159,8,1,,1,1,1,2,"A,G,Z",2,4,3,2,4,3
Anitap,ANI-0023,ANI-0023-3,03,05,2,8698923394824421,2,8,,,,1,1,"Z,G,B",4,1,4,2,4,2
Anitap,ANI-0023,ANI-0023-4,03,04,2,9132196488152414,8,1,,,,1,1,"F,G,C",4,2,2,3,4,2
Anitap,ANI-0024,ANI-0024-1,02,02,2,3982609567765007,1,8,,,,2,2,,1,2,4,4,2,4
Anitap,ANI-0024,ANI-0024-2,06,10,2,8114194515491083,2,2,,,,2,1,,4,4,4,2,4,1
Anitap,ANI-0024,ANI-0024-3,05,05,8,4869278176483720,1,8,,2,2,2,1,,2,4,3,1,1,1
Anitap,ANI-0024,ANI-0024-4,04,01,2,9567668215791280,1,1,,,,2,1,,3,3,3,1,1,2
Anitap,ANI-0024,ANI-0024-5,02,04,1,1919734861614887,8,1,,2,1,1,1,"F,Z,C",1,4,3,4,3,4
Anitap,ANI-0024,ANI-0024-6,03,07,1,5912212804281135,1,2,,,,1,1,"G,E,C",,,,,,
Anitap,ANI-0025,ANI-0025-1,03,02,1,4049011609997367,2,8,,,,1,2,"E,Z,A",3,3,3,3,4,4
Anitap,ANI-0025,ANI-0025-2,04,00,2,7372922144518129,8,8,,,,1,1,"G,A,Z",,,,,,
Anitap,ANI-0025,ANI-0025-3,06,08,2,5950489362032054,1,8,,,,2,2,,2,3,4,3,4,2
Anitap,ANI-0026,ANI-0026-1,03,01,8,8305924014329452,2,2,,,,1,1,"Z,G,B",3,2,1,1,1,3
Anitap,ANI-0026,ANI-0026-2,05,07,8,5300064340950782,1,2,8,,,1,1,"F,D,E",3,4,1,2,3,4
Anitap,ANI-0026,ANI-0026-3,03,07,8,7404224519744959,8,8,,2,2,2,1,,1,1,3,3,2,1
Anitap,ANI-0026,ANI-0026-4,03,03,1,7674766514638096,2,2,1,2,1,2,2,,1,2,2,3,1,4
Anitap,ANI-0027,ANI-0027-1,02,00,8,6062292901914489,1,1,,,,1,2,"B,A,Z",4,2,1,2,4,3
Anitap,ANI-0027,ANI-0027-2,06,03,1,1906243190534177,8,1,,,,2,1,,1,2,3,4,1,3
Anitap,ANI-0027,ANI-0027-3,03,03,2,5191229825981799,1,1,,,,2,1,,,,,,,
Anitap,ANI-0027,ANI-0027-4,03,04,2,5632243020004724,2,2,,,,2,2,,,,,,,
Anitap,ANI-0028,ANI-0028-1,02,05,8,4051706237619662,8,2,,,,2,1,,3,2,1,4,1,3
Anitap,ANI-0028,ANI-0028-2,02,08,1,2064946696860662,1,1,8,2,1,1,1,"A,E,D",1,3,4,3,3,1
Anitap,ANI-0028,ANI-0028-3,05,03,2,6620483268533584,8,1,,,,2,2,,,,,,,
Anitap,ANI-0029,ANI-0029-1,06,02,8,9079240464213491,8,2,,,,2,2,,4,1,4,3,2,1
Anitap,ANI-0029,ANI-0029-2,02,06,8,9789306756278522,1,2,,,,2,2,,3,3,3,1,2,1
Anitap,ANI-0029,ANI-0029-3,01,10,1,8654789656165911,1,1,,,,1,2,"G,C,F",1,3,2,4,4,1
Anitap,ANI-0029,ANI-0029-4,05,10,1,7405809150777325,8,2,,,,2,2,,1,1,1,3,1,1
Anitap,ANI-0029,ANI-0029-5,05,04,1,3580211436153031,1,8,,2,2,1,2,"Z,D,A",1,1,4,3,3,4
Anitap,ANI-0030,ANI-0030-1,01,01,8,8103233814766254,2,1,,,,2,1,,3,4,4,2,4,1
Anitap,ANI-0030,ANI-0030-2,03,07,2,8245035662922586,1,2,,,,1,2,"Z,F,D",2,2,4,3,3,4
Anitap,ANI-0030,ANI-0030-3,06,06,1,8928863509583479,2,2,1,,,2,1,,1,1,2,2,4,2
Anitap,ANI-0030,ANI-0030-4,01,05,1,7650440208488921,8,2,,,,2,2,,,,,,,
Anitap,ANI-0030,ANI-0030-5,04,00,2,7934578384723404,1,8,,,,1,1,"C,D,G",,,,,,
Manuel Roxas,MAN-0001,MAN-0001-1,05,08,1,2673867715814200,2,8,,,,1,1,"A,E,B",3,2,2,3,4,3
Manuel Roxas,MAN-0002,MAN-0002-1,06,02,1,2118923225685429,2,1,,,,1,1,"B,G,Z",,,,,,
Manuel Roxas,MAN-0003,MAN-0003-1,06,08,8,7032192379010268,2,1,,1,1,1,2,"Z,B,D",4,1,4,1,2,4
Manuel Roxas,MAN-0004,MAN-0004-1,05,09,1,4638227738731364,8,1,1,,,2,2,,1,2,1,1,4,3
Manuel Roxas,MAN-0004,MAN-0004-2,02,02,2,9097005014257749,1,2,,,,1,1,"C,D,Z",,,,,,
Manuel Roxas,MAN-0004,MAN-0004-3,06,01,8,1675185670909348,2,8,,1,1,2,1,,3,1,3,2,4,4
Manuel Roxas,MAN-0004,MAN-0004-4,04,07,1,4775814859687841,2,2,,,,2,2,,3,2,4,4,1,3
Manuel Roxas,MAN-0005,MAN-0005-1,06,08,2,6694754830228656,2,1,,2,2,2,2,,2,3,3,4,2,2
Manuel Roxas,MAN-0006,MAN-0006-1,02,08,8,1471095155304952,2,8,,1,2,1,2,"G,D,F",4,1,2,1,2,4
Manuel Roxas,MAN-0006,MAN-0006-2,03,07,8,6060462281231580,1,1,2,,,1,2,"E,G,C",4,3,1,2,2,2
Manuel Roxas,MAN-0006,MAN-0006-3,02,00,2,6857257169079327,1,8,2,2,1,1,2,"A,Z,E",3,3,1,2,1,3
Manuel Roxas,MAN-0006,MAN-0006-4,05,03,8,8328456772876256,2,8,,,,1,2,"B,D,C",1,1,4,1,4,4
Manuel Roxas,MAN-0006,MAN-0006-5,05,00,2,5547431897770977,8,8,8,2,2,2,2,,2,4,2,4,3,3
Manuel Roxas,MAN-0007,MAN-0007-1,06,02,1,3020506866265963,1,1,,1,1,1,1,"A,D,E",1,3,3,2,3,2
Manuel Roxas,MAN-0008,MAN-0008-1,02,06,1,7179353984089381,8,8,,,,2,1,,4,2,2,3,1,4
Manuel Roxas,MAN-0008,MAN-0008-2,02,01,8,4680284794426599,1,1,,1,1,1,1,"D,G,F",2,4,2,2,3,1
Manuel Roxas,MAN-0008,MAN-0008-3,05,00,1,3284912765494809,1,2,,,,2,1,,1,2,3,2,4,1
Manuel Roxas,MAN-0008,MAN-0008-4,04,01,8,2236687600550256,8,1,,1,2,2,1,,3,4,2,2,4,3
Manuel Roxas,MAN-0009,MAN-0009-1,04,09,2,1579554402420159,2,2,8,2,2,1,1,"Z,D,C",4,3,1,4,1,1
Manuel Roxas,MAN-0009,MAN-0009-2,05,06,8,7694589462072818,8,1,,,,2,1,,4,4,1,2,1,2
Manuel Roxas,MAN-0009,MAN-0009-3,05,05,8,6999742097304117,2,2,,1,2,1,1,"C,Z,A",2,4,3,4,4,4
Manuel Roxas,MAN-0009,MAN-0009-4,02,04,8,1133230340961701,1,8,,,,1,2,"A,B,D",4,4,3,1,2,1
Manuel Roxas,MAN-0009,MAN-0009-5,03,06,1,9623158155516051,2,1,,,,1,1,"F,D,A",1,4,3,4,4,3
Manuel Roxas,MAN-0009,MAN-0009-6,06,00,8,3034339837932382,1,2,,,,1,2,"B,C,A",2,4,4,3,1,1
Manuel Roxas,MAN-0010,MAN-0010-1,05,05,2,5585782621947658,1,2,,,,2,2,,1,3,2,4,4,1
Manuel Roxas,MAN-0011,MAN-0011-1,06,05,8,7473650485153416,8,1,,,,2,2,,4,4,2,3,2,4
Manuel Roxas,MAN-0011,MAN-0011-2,04,04,2,4034929309827725,8,1,,1,1,2,1,,4,2,2,1,4,4
Manuel Roxas,MAN-0011,MAN-0011-3,03,06,2,8285964086511969,8,1,,,,1,2,"G,D,F",1,2,4,3,3,4
Manuel Roxas,MAN-0011,MAN-0011-4,06,01,8,3933285730283990,1,8,,,,1,1,"E,B,F",4,3,1,3,1,1
Manuel Roxas,MAN-0011,MAN-0011-5,01,04,2,1674658686116946,8,2,,,,2,2,,3,2,2,2,2,1
Manuel Roxas,MAN-0011,MAN-0011-6,01,04,8,1118997784493265,8,8,,,,2,2,,1,2,3,4,2,3
Manuel Roxas,MAN-0012,MAN-0012-1,05,06,8,2582482958096120,2,2,,,,1,1,"E,C,Z",,,,,,
Manuel Roxas,MAN-0013,MAN-0013-1,03,01,2,5257102704246615,1,2,,,,2,2,,3,2,4,2,3,3
Manuel Roxas,MAN-0013,MAN-0013-2,04,01,2,8998375382155878,1,1,,,,1,1,"A,B,F",,,,,,
Manuel Roxas,MAN-0013,MAN-0013-3,06,00,2,9966369960066897,1,2,,1,2,2,1,,1,1,3,4,4,2
Manuel Roxas,MAN-0013,MAN-0013-4,05,09,8,8968630797108320,2,2,,,,1,1,"G,F,D",2,1,4,3,2,4
Manuel Roxas,MAN-0013,MAN-0013-5,03,00,1,5686584690699424,1,1,,1,1,2,1,,4,1,3,4,3,4
Manuel Roxas,MAN-0014,MAN-0014-1,05,04,2,2463332723684588,1,8,,2,1,2,1,,1,3,4,3,3,2
Manuel Roxas,MAN-0014,MAN-0014-2,05,02,1,3059470628078381,1,8,,,,1,1,"A,F,G",,,,,,
Manuel Roxas,MAN-0015,MAN-0015-1,06,02,8,1052874648014554,8,1,,2,1,1,1,"F,A,G",1,2,2,4,1,4
Manuel Roxas,MAN-0015,MAN-0015-2,01,04,2,9586117292063618,2,8,,,,1,1,"G,D,B",3,3,4,4,3,3
Manuel Roxas,MAN-0015,MAN-0015-3,02,03,1,5381152338407317,8,8,,1,1,1,1,"B,D,C",3,1,3,4,4,2
Manuel Roxas,MAN-0015,MAN-0015-4,06,02,8,8926428694749484,2,1,,,,2,1,,,,,,,
Manuel Roxas,MAN-0015,MAN-0015-5,03,03,8,5423354786192745,8,2,,2,2,2,2,,4,3,1,2,3,1
Manuel Roxas,MAN-0015,MAN-0015-6,03,02,8,7909381549026620,1,8,,,,1,2,"G,B,Z",1,2,1,1,1,4
Manuel Roxas,MAN-0016,MAN-0016-1,01,02,8,4952766530442990,1,1,,,,1,2,"A,D,B",4,3,3,3,3,1
Manuel Roxas,MAN-0017,MAN-0017-1,06,09,1,4944132201913449,1,1,,,,2,1,,1,2,2,3,4,2
Manuel Roxas,MAN-0017,MAN-0017-2,05,02,2,9016423437383975,8,8,,,,2,1,,1,3,2,3,3,4
Manuel Roxas,MAN-0017,MAN-0017-3,02,03,1,3110615263391399,8,8,,,,1,1,"A,D,C",2,3,2,2,3,2
Manuel Roxas,MAN-0018,MAN-0018-1,06,10,8,6909256225972250,1,1,1,1,2,1,2,"E,F,G",4,1,2,1,4,1
Manuel Roxas,MAN-0018,MAN-0018-2,03,09,8,6564231702561082,8,8,,,,2,1,,,,,,,
Manuel Roxas,MAN-0018,MAN-0018-3,01,06,8,5972853046151114,2,1,,,,1,2,"F,B,G",4,1,1,4,3,1
Manuel Roxas,MAN-0018,MAN-0018-4,03,00,8,8942135475719070,8,1,,2,1,1,1,"D,B,F",3,2,2,1,1,4
Manuel Roxas,MAN-0018,MAN-0018-5,01,10,2,8663940912238267,1,1,,,,2,1,,4,1,2,4,3,1
Manuel Roxas,MAN-0019,MAN-0019-1,06,03,2,1356816220202929,2,1,,1,2,2,1,,4,1,1,2,3,1
Manuel Roxas,MAN-0020,MAN-0020-1,06,09,1,4652638590378896,8,1,,,,1,2,"Z,G,F",4,3,2,1,2,1
Manuel Roxas,MAN-0020,MAN-0020-2,01,03,1,6684421083795175,8,2,8,1,2,1,1,"G,E,F",1,3,1,3,3,4
Manuel Roxas,MAN-0020,MAN-0020-3,01,07,2,3808721899380502,2,8,,1,1,2,2,,2,4,3,1,4,2
Manuel Roxas,MAN-0020,MAN-0020-4,04,01,8,3063427622141613,8,2,,,,1,2,"E,C,Z",1,1,2,4,4,2
Manuel Roxas,MAN-0021,MAN-0021-1,05,02,8,9201668730020542,8,2,,,,2,2,,3,2,1,3,1,3
Manuel Roxas,MAN-0022,MAN-0022-1,04,00,8,8054476842159391,8,1,,,,2,2,,,,,,,
Manuel Roxas,MAN-0022,MAN-0022-2,01,07,1,3461985819541175,1,2,,2,2,1,1,"G,D,A",4,2,4,3,1,4
Manuel Roxas,MAN-0023,MAN-0023-1,02,01,8,6007548060062452,8,2,,,,1,1,"D,C,E",4,3,4,2,4,2
Manuel Roxas,MAN-0024,MAN-0024-1,05,02,1,5749770174660354,1,2,,1,1,2,1,,3,2,4,3,2,3
Manuel Roxas,MAN-0024,MAN-0024-2,04,09,1,6222062904308280,2,2,2,,,1,2,"Z,D,C",3,1,3,4,2,1
Manuel Roxas,MAN-0024,MAN-0024-3,01,01,2,2653193358030241,2,8,,,,2,2,,,,,,,
Manuel Roxas,MAN-0024,MAN-0024-4,03,00,1,2171915280456969,1,1,,,,1,2,"Z,B,E",,,,,,
Manuel Roxas,MAN-0025,MAN-0025-1,01,03,2,8119416097721003,8,2,,,,1,2,"C,G,E",3,2,1,1,1,1
Manuel Roxas,MAN-0025,MAN-0025-2,03,02,2,5503832095486696,2,8,,,,1,1,"Z,D,E",1,1,2,3,2,3
Manuel Roxas,MAN-0026,MAN-0026-1,01,04,8,7170322125073246,2,2,,,,1,1,"A,D,E",2,1,2,3,4,3
Manuel Roxas,MAN-0026,MAN-0026-2,06,08,8,6146001521169323,2,8,,2,2,1,1,"C,E,F",1,3,1,2,4,2
Manuel Roxas,MAN-0027,MAN-0027-1,06,10,2,8855502230761019,2,2,,,,1,1,"C,Z,G",4,4,2,1,3,3
Manuel Roxas,MAN-0027,MAN-0027-2,05,03,8,4192054905987391,2,2,,2,1,1,2,"A,E,Z",4,4,4,1,4,4
Manuel Roxas,MAN-0027,MAN-0027-3,01,03,1,4276894689879487,1,1,,,,2,1,,,,,,,
Manuel Roxas,MAN-0027,MAN-0027-4,06,09,1,1526745471968996,1,8,,,,1,2,"A,Z,B",3,4,2,4,1,2
Manuel Roxas,MAN-0028,MAN-0028-1,06,05,8,8982677439615266,8,1,2,,,1,1,"C,G,A",4,4,2,2,2,4
Manuel Roxas,MAN-0028,MAN-0028-2,06,05,1,5514607302141109,1,1,,1,2,2,1,,3,4,2,1,3,3
Manuel Roxas,MAN-0028,MAN-0028-3,04,08,8,8294214205640640,1,1,,,,2,2,,1,1,1,4,3,2
Manuel Roxas,MAN-0028,MAN-0028-4,06,04,2,4206521417748516,2,8,,,,1,1,"A,Z,E",2,1,3,3,3,1
Manuel Roxas,MAN-0028,MAN-0028-5,05,10,2,3140613077273342,2,8,,,,2,2,,3,2,3,4,4,4
Manuel Roxas,MAN-0029,MAN-0029-1,05,09,8,1072566992228244,1,1,,1,2,1,2,"F,B,C",1,1,3,3,3,2
Manuel Roxas,MAN-0029,MAN-0029-2,06,07,8,6058553624318282,1,2,,,,1,1,"A,Z,F",1,4,4,4,3,1
Manuel Roxas,MAN-0029,MAN-0029-3,02,02,1,9763729437070515,2,1,,1,2,1,1,"E,G,A",3,1,4,1,2,1
Manuel Roxas,MAN-0030,MAN-0030-1,03,10,2,6777959974030942,2,1,,,,2,2,,3,3,3,2,3,2
Manuel Roxas,MAN-0030,MAN-0030-2,05,08,2,8388981529305607,1,2,8,1,1,1,1,"E,Z,B",4,2,2,3,1,2
Manuel Roxas,MAN-0030,MAN-0030-3,06,07,8,2589449888930877,1,8,,2,1,2,1,,3,3,2,2,3,2
Manuel Roxas,MAN-0030,MAN-0030-4,05,09,2,3801840629177720,2,1,,,,1,1,"D,A,E",1,4,1,4,1,2
Manuel Roxas,MAN-0031,MAN-0031-1,06,01,1,5938445431907755,2,1,,,,2,1,,3,4,2,2,3,3
Manuel Roxas,MAN-0031,MAN-0031-2,01,07,8,4141336490280506,8,2,,2,2,2,2,,2,4,3,3,1,4
Manuel Roxas,MAN-0031,MAN-0031-3,04,06,2,4910092545907176,2,1,,2,1,2,2,,1,1,1,1,1,3
Manuel Roxas,MAN-0031,MAN-0031-4,06,03,8,4948655461554394,8,1,,2,1,1,1,"C,E,B",2,3,2,1,4,2
Manuel Roxas,MAN-0031,MAN-0031-5,05,06,8,3637515257511347,8,2,,1,2,1,1,"E,F,C",4,2,2,3,1,2
Manuel Roxas,MAN-0032,MAN-0032-1,01,07,1,8465518946168881,1,2,1,1,1,1,2,"Z,D,B",2,3,3,2,1,4
Manuel Roxas,MAN-0032,MAN-0032-2,05,07,1,6568141288912400,2,8,,,,1,1,"B,G,D",4,3,4,2,1,2
Manuel Roxas,MAN-0032,MAN-0032-3,01,03,2,9819304521328313,2,8,,,,1,1,"G,B,C",,,,,,
Manuel Roxas,MAN-0032,MAN-0032-4,06,09,1,7709785724767552,2,1,,1,1,1,2,"Z,F,C",4,2,3,2,3,1
Manuel Roxas,MAN-0032,MAN-0032-5,03,08,1,3283253915760597,2,8,,,,1,1,"G,E,Z",2,1,2,2,4,3
Manuel Roxas,MAN-0033,MAN-0033-1,01,02,2,5588497935449858,8,2,,,,2,2,,2,1,1,4,3,4
Manuel Roxas,MAN-0033,MAN-0033-2,04,08,8,2460883687919595,8,8,,,,1,2,"D,A,C",2,4,1,3,4,3
Manuel Roxas,MAN-0033,MAN-0033-3,05,00,8,1693272900724729,8,8,,,,1,2,"D,G,Z",3,4,1,3,1,3
