barangay,household_id,member_id,last_name,first_name,suffix,middle_name,relationship,gender,birthday,age,local_civil_registry,marital_status,ethnicity,religion,can_read_write,highest_grade_completed
Anitap,ANI-0007,ANI-0007-1,Sanchez,Wilfredo,,Molina,01,1,1983-11-08,41,8,2,Surigaonon,Roman Catholic,1,10000103
Anitap,ANI-0007,ANI-0007-2,Sanchez,Urbano,Sr.,Herrera,02,1,1984-12-26,40,8,2,Sangirese,Roman Catholic,1,11000101
Anitap,ANI-0007,ANI-0007-3,Alvarez,Urbano,IV,Delgado,06,1,1941-03-14,83,1,2,Kalagan,Roman Catholic,1,20400101
Anitap,ANI-0007,ANI-0007-4,Sanchez,Isabella,,Rojas,08,2,2003-11-18,21,2,1,Mandaya,Roman Catholic,2,11000201
Anitap,ANI-0008,ANI-0008-1,Moreno,Ruben,Sr.,Herrera,02,1,2023-11-10,1,8,1,Sarangani,Roman Catholic,,00000000
Anitap,ANI-0009,ANI-0009-1,Cruz,Amelia,,Estrada,02,2,2013-09-03,11,2,1,Manobo,Roman Catholic,1,00000000
Anitap,ANI-0009,ANI-0009-2,Cruz,Lucila,,Ruiz,04,2,2016-07-28,8,1,1,Tagalog,Roman Catholic,1,02100000
Anitap,ANI-0009,ANI-0009-3,Vargas,Amelia,,Aguilar,07,2,1969-05-13,55,2,2,Tagalog,Islam,2,11000201
Anitap,ANI-0009,ANI-0009-4,Cruz,Nelly,,Ruiz,04,2,2015-10-25,9,2,1,Sangirese,Roman Catholic,2,00000000
Anitap,ANI-0010,ANI-0010-1,Munoz,Ximena,,Gomez,01,2,1933-06-22,91,1,3,Surigaonon,Roman Catholic,2,11000203
Anitap,ANI-0010,ANI-0010-2,Munoz,Ruperto,,Herrera,02,1,1976-07-05,48,2,2,Kalagan,Islam,1,10000102
Anitap,ANI-0010,ANI-0010-3,Delgado,Belinda,,Perez,07,2,2001-09-22,23,8,2,Surigaonon,Roman Catholic,2,11000103
Anitap,ANI-0010,ANI-0010-4,Munoz,Imelda,,Garcia,04,2,2017-11-04,7,8,1,Sangirese,Roman Catholic,2,00000000
Anitap,ANI-0011,ANI-0011-1,Dela Cruz,Liza,,Vargas,01,2,1952-03-08,72,2,2,Sarangani,Roman Catholic,2,10000105
Anitap,ANI-0011,ANI-0011-2,Dela Cruz,Martin,III,Medina,02,1,1998-09-06,26,1,1,Kalagan,Roman Catholic,2,10000106
Anitap,ANI-0012,ANI-0012-1,Flores,Maria,,Ramirez,01,2,1963-07-08,61,8,2,Surigaonon,Roman Catholic,1,11000108
Anitap,ANI-0012,ANI-0012-2,Flores,Rebecca,,Torres,02,2,2001-03-12,23,1,2,Kalagan,Roman Catholic,2,20400105
Anitap,ANI-0012,ANI-0012-3,Flores,Maricel,,Perez,05,2,2009-01-15,15,2,1,Tagalog,Roman Catholic,2,11000201
Anitap,ANI-0012,ANI-0012-4,Flores,Rosa,,Santos,07,2,1965-10-04,59,2,3,Cebuano,Roman Catholic,2,11000202
Anitap,ANI-0012,ANI-0012-5,Flores,Catalina,,Perez,03,2,2020-10-22,4,1,1,Maranao,Roman Catholic,,00000000
Anitap,ANI-0012,ANI-0012-6,Flores,Eduardo,,Perez,03,1,2022-04-20,2,8,1,Davawenyo,Roman Catholic,,00000000
Anitap,ANI-0013,ANI-0013-1,Molina,Fulgencio,III,Vargas,01,1,1989-06-05,35,1,2,Kalagan,Roman Catholic,2,21400102
Anitap,ANI-0013,ANI-0013-2,Molina,Jasmine,,Alvarez,05,2,2007-05-01,17,1,1,Sarangani,Roman Catholic,2,11000202
Anitap,ANI-0014,ANI-0014-1,Torres,Celestino,,Lopez,01,1,1965-08-01,59,1,1,Manobo,United Church of Christ,1,10000102
Anitap,ANI-0014,ANI-0014-2,Torres,Efren,Sr.,Contreras,04,1,2018-12-26,6,8,1,Tagalog,Islam,2,01000000
Anitap,ANI-0014,ANI-0014-3,Torres,Urbano,III,Gomez,07,1,2006-09-01,18,8,2,Mandaya,Roman Catholic,1,21400102
Anitap,ANI-0014,ANI-0014-4,Torres,Wilfredo,Jr.,Espinoza,08,1,1970-09-11,54,1,2,Surigaonon,Roman Catholic,2,11000103
Anitap,ANI-0014,ANI-0014-5,Torres,Nicolas,,Martinez,07,1,1983-05-09,41,8,2,Tausug,Roman Catholic,2,11000104
Anitap,ANI-0014,ANI-0014-6,Torres,Susana,,Contreras,03,2,2020-04-03,4,2,1,Manobo,United Church of Christ,,00000000
Anitap,ANI-0015,ANI-0015-1,Gomez,Gina,,Jimenez,01,2,1947-07-17,77,8,2,Maranao,Roman Catholic,1,10000107
Anitap,ANI-0015,ANI-0015-2,Ramos,Emilia,,Flores,02,2,1972-05-15,52,2,2,Sangil,Roman Catholic,1,11000102
Anitap,ANI-0015,ANI-0015-3,Flores,Araceli,,Romero,06,2,1986-07-03,38,1,2,Others,Roman Catholic,2,10000105
Anitap,ANI-0015,ANI-0015-4,Gomez,Virgilio,,Lopez,03,1,2022-09-03,2,2,1,Davawenyo,Roman Catholic,,00000000
Anitap,ANI-0015,ANI-0015-5,Morales,Joaquin,III,Torres,06,1,2006-12-15,18,2,2,Tausug,Evangelical,1,11000101
Anitap,ANI-0015,ANI-0015-6,Herrera,Rosario,,Silva,08,2,1990-04-07,34,2,2,Sarangani,Roman Catholic,1,21400105
Anitap,ANI-0016,ANI-0016-1,Ramos,Cecilio,IV,Gomez,02,1,2020-04-15,4,8,1,Surigaonon,Islam,,00000000
Anitap,ANI-0016,ANI-0016-2,Ramos,Salvador,III,Mendoza,04,1,2010-05-27,14,1,1,Maguindanao,Evangelical,2,11000202
Anitap,ANI-0016,ANI-0016-3,Ramos,Rosa,,Mendoza,04,2,2013-08-07,11,1,1,Manobo,Roman Catholic,1,10000103
Anitap,ANI-0016,ANI-0016-4,Ramos,Roberto,Sr.,Flores,07,1,1968-11-08,56,8,2,Kalagan,Roman Catholic,1,11000202
Anitap,ANI-0017,ANI-0017-1,Ramos,Fidel,Sr.,Mendoza,01,1,1966-04-07,58,8,2,Maranao,Roman Catholic,1,11000105
Anitap,ANI-0017,ANI-0017-2,Gonzales,Paulina,,Vargas,02,2,2004-01-19,20,1,2,Sangil,Islam,2,21400102
Anitap,ANI-0017,ANI-0017-3,Santos,Fermin,IV,Alvarez,07,1,1986-12-25,38,2,1,Maguindanao,Roman Catholic,2,21400101
Anitap,ANI-0017,ANI-0017-4,Moreno,Lydia,,Ruiz,08,2,2006-05-15,18,8,2,Sangirese,Roman Catholic,2,20400105
Anitap,ANI-0017,ANI-0017-5,Ramos,Renata,,Reyes,03,2,2022-05-03,2,2,1,Surigaonon,Islam,,00000000
Anitap,ANI-0018,ANI-0018-1,Torres,Narciso,IV,Castro,02,1,2014-01-08,10,1,1,Davawenyo,Roman Catholic,2,10000104
Anitap,ANI-0018,ANI-0018-2,Torres,Lazaro,,Jimenez,02,1,1986-03-06,38,2,2,Surigaonon,Roman Catholic,2,10000108
Anitap,ANI-0018,ANI-0018-3,Torres,Nena,,Gonzales,08,2,1990-08-05,34,8,2,Sangirese,Roman Catholic,2,11000103
Anitap,ANI-0019,ANI-0019-1,Gomez,Pablo,Jr.,Vargas,01,1,1998-06-22,26,2,2,Bisaya/Binisaya,Islam,2,10000101
Anitap,ANI-0019,ANI-0019-2,Gomez,Roberta,,Valencia,03,2,2023-04-17,1,1,1,Sangil,Roman Catholic,,00000000
Anitap,ANI-0019,ANI-0019-3,Gomez,Urbano,IV,Valencia,05,1,2007-06-23,17,1,1,Sarangani,Roman Catholic,1,11000108
Anitap,ANI-0019,ANI-0019-4,Gomez,Felix,IV,Rojas,07,1,1999-12-10,25,8,1,Maranao,Roman Catholic,1,20400101
Anitap,ANI-0019,ANI-0019-5,Gomez,Soledad,,Herrera,07,2,2002-02-01,22,1,2,Kalagan,Roman Catholic,2,11000104
Anitap,ANI-0019,ANI-0019-6,Alvarez,Humberto,Sr.,Mendoza,06,1,1970-04-22,54,2,2,Manobo,Roman Catholic,2,21400105
Anitap,ANI-0020,ANI-0020-1,Martinez,Hugo,Sr.,Flores,01,1,1989-10-20,35,8,1,Tagalog,Roman Catholic,1,11000108
Anitap,ANI-0021,ANI-0021-1,Alvarez,Quirino,IV,Torres,01,1,1941-04-23,83,8,2,Surigaonon,Roman Catholic,2,20400105
Anitap,ANI-0021,ANI-0021-2,Alvarez,Eugenia,,Perez,02,2,2003-03-09,21,2,1,Mandaya,Roman Catholic,2,21400101
Anitap,ANI-0022,ANI-0022-1,Ruiz,Sandra,,Ramirez,01,2,1971-05-17,53,1,2,Others,Roman Catholic,1,10000103
Anitap,ANI-0023,ANI-0023-1,Perez,Maria,,Medina,01,2,2004-07-15,20,8,2,Mandaya,United Church of Christ,2,21400102
Anitap,ANI-0023,ANI-0023-2,Perez,Caridad,,Silva,04,2,2018-08-09,6,8,1,Tausug,Roman Catholic,1,01000000
Anitap,ANI-0023,ANI-0023-3,Perez,Romina,,Silva,04,2,2019-07-18,5,1,1,Cebuano,Roman Catholic,2,00000000
Anitap,ANI-0023,ANI-0023-4,Perez,Vanessa,,Silva,03,2,2020-03-26,4,2,1,Others,Roman Catholic,,00000000
Anitap,ANI-0024,ANI-0024-1,Rivera,Gavino,Jr.,Reyes,01,1,1927-11-11,97,2,2,Manobo,Islam,2,11000201
Anitap,ANI-0024,ANI-0024-2,Gutierrez,Gabriela,,Reyes,02,2,1925-04-11,99,8,2,Tausug,Bible Baptist Church,2,30400106
Anitap,ANI-0024,ANI-0024-3,Rivera,Lolita,,Rodriguez,04,2,2011-11-04,13,1,1,Sarangani,Roman Catholic,2,11000202
Anitap,ANI-0025,ANI-0025-1,Vargas,Gabriela,,Alvarez,01,2,2002-09-01,22,2,1,Others,Islam,2,20400105
Anitap,ANI-0025,ANI-0025-2,Vargas,Ricardo,Sr.,Silva,02,1,2001-04-01,23,8,2,Davawenyo,Roman Catholic,2,11000203
Anitap,ANI-0025,ANI-0025-3,Vargas,Gervasio,IV,Romero,08,1,1997-01-05,27,8,2,Davawenyo,Roman Catholic,1,11000101
Anitap,ANI-0025,ANI-0025-4,Vargas,Luciano,IV,Herrera,03,1,2020-04-01,4,8,1,Mandaya,United Church of Christ,,00000000
Anitap,ANI-0025,ANI-0025-5,Gonzales,Quirino,Sr.,Moreno,08,1,1960-07-21,64,2,2,Sangil,United Church of Christ,1,10000106
Anitap,ANI-0025,ANI-0025-6,Estrada,Dorothy,,Ramos,08,2,2000-02-20,24,1,1,Bisaya/Binisaya,Roman Catholic,1,21400105
Anitap,ANI-0026,ANI-0026-1,Reyes,Norma,,Castillo,01,2,1994-12-19,30,8,2,Kalagan,Roman Catholic,2,20400101
Anitap,ANI-0027,ANI-0027-1,Dela Rosa,Samuel,Jr.,Morales,01,1,2002-02-15,22,1,1,Tagalog,Islam,2,20400102
Anitap,ANI-0028,ANI-0028-1,Silva,Quirino,,Dela Rosa,01,1,1997-08-19,27,1,1,Others,Roman Catholic,2,11000203
Anitap,ANI-0028,ANI-0028-2,Silva,Virgilio,Sr.,Cabrera,04,1,2015-05-26,9,1,1,Sangil,Roman Catholic,1,01000000
Anitap,ANI-0028,ANI-0028-3,Jimenez,Jesus,III,Castillo,07,1,1996-12-25,28,2,2,Sarangani,Evangelical,2,20400103
Anitap,ANI-0028,ANI-0028-4,Silva,Liza,,Bautista,08,2,1992-10-03,32,1,2,Maguindanao,Roman Catholic,1,21400101
Anitap,ANI-0028,ANI-0028-5,Cruz,Valeria,,Castillo,06,2,1938-08-05,86,2,2,Maranao,Roman Catholic,1,21400102
Anitap,ANI-0029,ANI-0029-1,Herrera,Basilio,Sr.,Cruz,02,1,2010-05-16,14,1,1,Bisaya/Binisaya,Roman Catholic,2,10000101
Anitap,ANI-0029,ANI-0029-2,Herrera,Sofia,,Ramos,02,2,1981-03-02,43,8,2,Tagalog,Roman Catholic,2,10000101
Anitap,ANI-0030,ANI-0030-1,Moreno,Pablo,IV,Garcia,01,1,1994-10-07,30,1,2,Tagalog,Roman Catholic,1,30400108
Anitap,ANI-0030,ANI-0030-2,Moreno,Edith,,Romero,04,2,2011-11-18,13,1,1,Sangirese,Roman Catholic,1,10000101
Anitap,ANI-0030,ANI-0030-3,Moreno,Josefa,,Dela Cruz,07,2,1980-01-20,44,8,2,Sangirese,Roman Catholic,2,20400103
Anitap,ANI-0030,ANI-0030-4,Moreno,Norberto,Jr.,Romero,03,1,2024-11-16,0,2,1,Surigaonon,Roman Catholic,,00000000
Manuel Roxas,MAN-0001,MAN-0001-1,Herrera,Wilfredo,III,Gonzales,01,1,1978-11-10,46,1,2,Davawenyo,Others,2,11000201
Manuel Roxas,MAN-0001,MAN-0001-2,Herrera,Virgilio,Sr.,Perez,03,1,2024-11-01,0,8,1,Davawenyo,Roman Catholic,,00000000
Manuel Roxas,MAN-0001,MAN-0001-3,Herrera,Ursula,,Jimenez,06,2,2003-03-06,21,8,2,Sangil,Roman Catholic,2,11000203
Manuel Roxas,MAN-0001,MAN-0001-4,Herrera,Fidel,III,Gutierrez,06,1,1955-09-09,69,1,2,Kalagan,Bible Baptist Church,2,21400102
Manuel Roxas,MAN-0001,MAN-0001-5,Torres,Adela,,Martinez,08,2,1985-02-05,39,1,2,Others,Roman Catholic,2,11000103
Manuel Roxas,MAN-0001,MAN-0001-6,Reyes,Marcos,Sr.,Torres,08,1,2001-03-27,23,2,2,Maranao,Others,1,11000103
Manuel Roxas,MAN-0002,MAN-0002-1,Flores,Susan,,Rodriguez,01,2,1973-06-09,51,8,2,Sarangani,United Church of Christ,1,21400102
Manuel Roxas,MAN-0002,MAN-0002-2,Molina,Barbara,,Vargas,02,2,1995-05-17,29,2,2,Tausug,Islam,2,30400106
Manuel Roxas,MAN-0002,MAN-0002-3,Flores,Francisco,Jr.,Ortiz,03,1,2022-02-27,2,8,1,Manobo,Roman Catholic,,00000000
Manuel Roxas,MAN-0002,MAN-0002-4,Alvarez,Pamela,,Valencia,06,2,2001-01-16,23,1,1,Tausug,Islam,1,11000101
Manuel Roxas,MAN-0002,MAN-0002-5,Flores,Rose,,Ortiz,04,2,2016-12-23,8,1,1,Sangil,Roman Catholic,2,02000000
Manuel Roxas,MAN-0002,MAN-0002-6,Flores,Regina,,Ortiz,04,2,2014-02-12,10,8,1,Mandaya,Roman Catholic,2,10000104
Manuel Roxas,MAN-0003,MAN-0003-1,Cruz,Roberta,,Ramirez,02,2,2016-10-07,8,1,1,Sangirese,Bible Baptist Church,2,02100000
Manuel Roxas,MAN-0004,MAN-0004-1,Vargas,Maria,,Santos,01,2,1960-12-25,64,2,2,Sarangani,Islam,1,10000105
Manuel Roxas,MAN-0004,MAN-0004-2,Vargas,Fortunato,Jr.,Rivera,02,1,1981-05-02,43,2,2,Tausug,Roman Catholic,2,11000201
Manuel Roxas,MAN-0004,MAN-0004-3,Lopez,Martina,,Alvarez,06,2,1977-04-14,47,1,2,Manobo,Islam,2,11000203
Manuel Roxas,MAN-0004,MAN-0004-4,Lopez,Ismael,IV,Reyes,07,1,1960-12-05,64,2,1,Sangil,Islam,2,30400106
Manuel Roxas,MAN-0005,MAN-0005-1,Gonzalez,Perla,,Santos,01,2,1935-05-24,89,1,3,Tausug,Roman Catholic,2,11000103
Manuel Roxas,MAN-0005,MAN-0005-2,Gonzalez,Patricio,Sr.,Valencia,03,1,2021-06-07,3,1,1,Bisaya/Binisaya,Islam,,00000000
Manuel Roxas,MAN-0006,MAN-0006-1,Cruz,Felicia,,Sanchez,01,2,1967-08-03,57,2,2,Mandaya,Roman Catholic,2,30400107
Manuel Roxas,MAN-0006,MAN-0006-2,Cruz,Wenceslao,Jr.,Martinez,05,1,2007-06-21,17,1,1,Davawenyo,Roman Catholic,1,11000104
Manuel Roxas,MAN-0006,MAN-0006-3,Cruz,Hugo,Sr.,Martinez,05,1,2007-02-12,17,1,1,Davawenyo,Roman Catholic,2,11000108
Manuel Roxas,MAN-0006,MAN-0006-4,Cruz,Minerva,,Silva,07,2,1974-12-13,50,1,2,Maguindanao,Roman Catholic,1,10000104
Manuel Roxas,MAN-0007,MAN-0007-1,Espinoza,Emilia,,Cruz,02,2,2009-02-06,15,8,1,Surigaonon,Roman Catholic,2,11000104
Manuel Roxas,MAN-0007,MAN-0007-2,Espinoza,Diana,,Castillo,02,2,1969-04-06,55,1,2,Sarangani,Roman Catholic,1,20400103
Manuel Roxas,MAN-0007,MAN-0007-3,Espinoza,Caridad,,Rodriguez,08,2,1976-06-03,48,1,2,Maranao,Evangelical,1,10000101
Manuel Roxas,MAN-0007,MAN-0007-4,Espinoza,Inocencio,III,Jimenez,06,1,1996-02-26,28,1,2,Maranao,Roman Catholic,1,20400102
Manuel Roxas,MAN-0008,MAN-0008-1,Munoz,Dionisio,III,Rojas,01,1,1965-04-23,59,8,2,Cebuano,Roman Catholic,1,10000101
Manuel Roxas,MAN-0008,MAN-0008-2,Munoz,Purificacion,,Ruiz,02,2,1984-03-22,40,8,2,Maranao,Roman Catholic,2,11000101
Manuel Roxas,MAN-0008,MAN-0008-3,Contreras,Rosa,,Vargas,07,2,1996-07-10,28,8,2,Bisaya/Binisaya,Roman Catholic,1,10000104
Manuel Roxas,MAN-0009,MAN-0009-1,Alvarez,Nestor,III,Castillo,02,1,2021-10-07,3,8,1,Sarangani,Roman Catholic,,00000000
Manuel Roxas,MAN-0009,MAN-0009-2,Moreno,Braulio,,Rivera,02,1,1986-08-13,38,2,2,Others,Roman Catholic,1,20400102
Manuel Roxas,MAN-0009,MAN-0009-3,Alvarez,Nicanor,III,Rodriguez,07,1,1974-11-11,50,8,2,Surigaonon,Roman Catholic,2,11000201
Manuel Roxas,MAN-0009,MAN-0009-4,Alvarez,Rosalinda,,Gonzales,07,2,1985-06-19,39,2,2,Sarangani,Roman Catholic,2,10000102
Manuel Roxas,MAN-0010,MAN-0010-1,Valencia,Francisco,Sr.,Vargas,01,1,1939-06-21,85,8,2,Maguindanao,United Church of Christ,1,10000105
Manuel Roxas,MAN-0010,MAN-0010-2,Valencia,Sofia,,Munoz,02,2,1988-12-21,36,8,1,Others,Evangelical,1,10000103
Manuel Roxas,MAN-0010,MAN-0010-3,Morales,Gervasio,III,Castillo,08,1,1994-08-09,30,8,2,Bisaya/Binisaya,Roman Catholic,2,10000101
Manuel Roxas,MAN-0010,MAN-0010-4,Valencia,Ponciano,Sr.,Castillo,07,1,2002-07-05,22,1,1,Maguindanao,Roman Catholic,2,11000203
Manuel Roxas,MAN-0010,MAN-0010-5,Valencia,Santiago,IV,Santos,03,1,2023-06-12,1,2,1,Tagalog,Iglesia ni Cristo,,00000000
Manuel Roxas,MAN-0010,MAN-0010-6,Valencia,Wenceslao,IV,Santos,05,1,2008-03-20,16,8,1,Sangirese,Roman Catholic,2,11000105
Manuel Roxas,MAN-0011,MAN-0011-1,Gomez,Nicolas,Jr.,Gonzalez,02,1,2024-02-25,0,1,1,Others,Roman Catholic,,00000000
Manuel Roxas,MAN-0012,MAN-0012-1,Gutierrez,Ofelia,,Castro,01,2,1988-02-16,36,1,2,Sarangani,Roman Catholic,1,10000105
Manuel Roxas,MAN-0012,MAN-0012-2,Gutierrez,Rufino,,Santos,04,1,2010-06-05,14,8,1,Kalagan,Iglesia ni Cristo,2,11000202
Manuel Roxas,MAN-0012,MAN-0012-3,Gutierrez,Felicia,,Castillo,08,2,1994-02-11,30,8,1,Sangirese,Roman Catholic,1,20400101
Manuel Roxas,MAN-0013,MAN-0013-1,Estrada,Felipe,Jr.,Gonzales,01,1,2004-06-18,20,8,2,Others,Roman Catholic,2,20400101
Manuel Roxas,MAN-0013,MAN-0013-2,Estrada,Ruth,,Alvarez,02,2,1994-03-07,30,2,2,Cebuano,Roman Catholic,2,10000107
Manuel Roxas,MAN-0013,MAN-0013-3,Estrada,Julian,IV,Vargas,04,1,2014-06-18,10,8,1,Maguindanao,Roman Catholic,1,10000102
Manuel Roxas,MAN-0013,MAN-0013-4,Estrada,Augusto,IV,Vargas,03,1,2020-09-28,4,1,1,Sangil,Islam,,00000000
Manuel Roxas,MAN-0014,MAN-0014-1,Diaz,Gervasio,III,Rivera,01,1,2001-01-24,23,8,1,Sangirese,Evangelical,1,11000104
Manuel Roxas,MAN-0014,MAN-0014-2,Diaz,Lucila,,Dela Cruz,02,2,1999-07-26,25,1,2,Kalagan,Roman Catholic,2,10000102
Manuel Roxas,MAN-0014,MAN-0014-3,Diaz,Nicanor,,Ortiz,04,1,2014-09-25,10,8,1,Maranao,Islam,1,10000102
Manuel Roxas,MAN-0014,MAN-0014-4,Diaz,Luz,,Ortiz,04,2,2012-09-05,12,8,1,Tausug,Roman Catholic,1,11000101
Manuel Roxas,MAN-0015,MAN-0015-1,Rodriguez,Petra,,Reyes,01,2,1970-10-06,54,1,2,Maranao,Roman Catholic,2,11000101
Manuel Roxas,MAN-0015,MAN-0015-2,Rodriguez,Araceli,,Torres,03,2,2021-11-22,3,1,1,Davawenyo,Islam,,00000000
Manuel Roxas,MAN-0015,MAN-0015-3,Rodriguez,Sandra,,Cruz,08,2,1967-11-27,57,1,2,Tagalog,Roman Catholic,1,10000101
Manuel Roxas,MAN-0015,MAN-0015-4,Rodriguez,Minerva,,Torres,04,2,2013-04-08,11,1,1,Bisaya/Binisaya,Evangelical,1,10000105
Manuel Roxas,MAN-0015,MAN-0015-5,Cabrera,Uriel,IV,Torres,06,1,1970-01-21,54,8,2,Sarangani,Islam,1,20400102
Manuel Roxas,MAN-0016,MAN-0016-1,Reyes,Olivia,,Cabrera,01,2,2006-05-14,18,8,2,Manobo,Islam,1,20400101
Manuel Roxas,MAN-0016,MAN-0016-2,Reyes,Agnes,,Munoz,02,2,1995-02-15,29,1,2,Others,Roman Catholic,2,11000201
Manuel Roxas,MAN-0016,MAN-0016-3,Reyes,Esperanza,,Lopez,07,2,1995-09-28,29,1,2,Sarangani,Roman Catholic,2,20400105
Manuel Roxas,MAN-0016,MAN-0016-4,Reyes,Jennifer,,Jimenez,04,2,2019-09-12,5,1,1,Kalagan,Islam,1,00000000
Manuel Roxas,MAN-0017,MAN-0017-1,Alvarez,Tomas,,Gutierrez,01,1,1992-11-19,32,8,2,Kalagan,Roman Catholic,1,11000101
Manuel Roxas,MAN-0017,MAN-0017-2,Alvarez,Clara,,Gonzales,04,2,2016-07-02,8,8,1,Bisaya/Binisaya,Others,2,10000101
Manuel Roxas,MAN-0017,MAN-0017-3,Alvarez,Aurora,,Bautista,08,2,1960-03-11,64,2,2,Sangirese,Roman Catholic,2,10000104
Manuel Roxas,MAN-0017,MAN-0017-4,Alvarez,Barbara,,Jimenez,08,2,1963-03-23,61,2,1,Surigaonon,Islam,2,30400108
Manuel Roxas,MAN-0018,MAN-0018-1,Romero,Wilhelmina,,Mendoza,01,2,1983-09-02,41,2,2,Kalagan,Roman Catholic,2,21400103
Manuel Roxas,MAN-0018,MAN-0018-2,Romero,Eusebio,III,Castillo,02,1,1947-02-13,77,2,3,Sangirese,Roman Catholic,2,11000101
Manuel Roxas,MAN-0018,MAN-0018-3,Romero,Nestor,IV,Alvarez,08,1,1999-09-17,25,2,2,Sangil,Seventh-day Adventist,2,10000108
Manuel Roxas,MAN-0018,MAN-0018-4,Ramos,Pedro,,Ruiz,06,1,1984-02-21,40,2,2,Maguindanao,Evangelical,2,10000103
Manuel Roxas,MAN-0018,MAN-0018-5,Romero,Celeste,,Rivera,08,2,2001-11-23,23,2,2,Manobo,Roman Catholic,1,20400103
Manuel Roxas,MAN-0018,MAN-0018-6,Bautista,Trinidad,,Perez,08,2,1974-11-10,50,1,2,Surigaonon,Roman Catholic,2,11000102
Manuel Roxas,MAN-0019,MAN-0019-1,Estrada,Alfredo,Jr.,Morales,01,1,1997-10-22,27,1,1,Sarangani,Evangelical,1,11000104
